"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify checkout form validation for all possible cases.","330","Test checkout form validation: empty postal code","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"Verifies that the login form validation works as expected for different cases","483","Test login form validation for wrong password","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"Verify checkout form validation for all possible cases.","0","Test checkout form validation: long values","tests","2026-04-27","skipped","2026-04-27","TestCheckout","Checkout","",""
"Verify checkout form validation for all possible cases.","194","Test checkout form validation: valid form","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"In order to complete the checkout process, the user must provide valid information and proceed through the checkout steps. This test verifies that the checkout flow works as expected for a valid checkout form.","400","Test checkout happy path flow","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"When the user encounters an error message during the checkout process, they should be able to close the message and continue with the checkout flow. This test verifies that the error message can be closed and the checkout process can continue.","253","Test checkout form error message can be closed","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"Verifies that the login form validation works as expected for different cases","281","Test login form validation for wrong username","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"Verifies that the login form validation works as expected for different cases","443","Test login form validation for wrong password","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"Verifies that the user can see the inventory items on the page.","103","Test user can see inventory items","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verify checkout form validation for all possible cases.","340","Test checkout form validation: all fields empty","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"Verify checkout form validation for all possible cases.","357","Test checkout form validation: empty first name","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"Verifies that the inventory items desired count are loaded on the page.","315","Test inventory items load","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verifies that the inventory items can be sorted by name and price","279","Test inventory items sorting by PRICE_DESC","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verify checkout form validation for all possible cases.","366","Test checkout form validation: empty postal code","tests","2026-04-27","passed","2026-04-27","TestCheckout","Checkout","",""
"Verifies that the user can see the inventory items on the page.","274","Test user can see inventory items","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
"Verifies that the login form validation works as expected for different cases","296","Test login form validation for empty password","tests","2026-04-27","passed","2026-04-27","TestLogin","Login","",""
"Verifies that the inventory items can be sorted by name and price","125","Test inventory items sorting by PRICE_DESC","tests","2026-04-27","passed","2026-04-27","TestInventory","Inventory","",""
